# cycle och pass data
1089 6 0 -287823062
1090 7 0 -3456113028
1091 8 0 68583995
1092 9 0 2361804387
1093 10 0 2665378933
1094 11 0 -1467821015
1095 12 0 1278625114
1096 13 0 1007999675
1097 14 0 -1672395668
1098 15 0 499889075
1103 0 0 9737666560
1104 1 0 1909496581
1105 2 0 3183668201
1106 3 0 2544448164
1107 4 0 1853197657
1108 5 0 -823770630
1109 6 0 -606231651
1110 7 0 -3453538529
1111 8 0 1155712764
1112 9 0 -520036965
1113 10 0 1302723978
1114 11 0 891084261
1115 12 0 -776064953
1116 13 0 -1342375098
1117 14 0 -813792272
1118 15 0 1085133865
1123 0 0 6936002560
1124 1 0 688937949
1125 2 0 2049652692
1126 3 0 -234474797
1127 4 0 430872712
1128 5 0 -1178655255
1129 6 0 3058975142
1130 7 0 -593200302
1131 8 0 -951416984
1132 9 0 -1369234030
1133 10 0 2504949005
1134 11 0 3240211293
1135 12 0 -1284071594
1136 13 0 -1962908606
1137 14 0 -900321123
1138 15 0 -1416721931
1143 0 0 6629457920
1144 1 0 -226889314
1145 2 0 -1938569489
1146 3 0 1372005209
1147 4 0 989209144
1148 5 0 -736585678
1149 6 0 -1613440574
1150 7 0 -2585198308
1151 8 0 -679245836
1152 9 0 2280835434
1153 10 0 6599219136
1154 11 0 783790324
1155 12 0 3244471954
1156 13 0 3180701965
1157 14 0 -1415963472
1158 15 0 -1009352012
1163 0 0 6236602368
1164 1 0 2703116846
1165 2 0 -590412148
1166 3 0 2740619363
1167 4 0 1746020347
1168 5 0 -521863773
1169 6 0 -1507214652
1170 7 0 -2345793914
1171 8 0 1214027888
1172 9 0 -2719866049
1173 10 0 3265226144
1174 11 0 2518115209
1175 12 0 1401016728
1176 13 0 109345621
1177 14 0 761913639
1178 15 0 -3327829125
1183 0 0 4720754688
1184 1 0 2261294881
1185 2 0 1750391372
1186 3 0 -3527286090
1187 4 0 -1401220417
1188 5 0 -2417623662
1189 6 0 1123339621
1190 7 0 -1637396092
1191 8 0 -1410188906
1192 9 0 154114408
1193 10 0 1154744055
1194 11 0 -1156109601
1195 12 0 -632273175
1196 13 0 1282872900
1197 14 0 1524162244
1198 15 0 250847000
1203 0 0 3942842368
1204 1 0 1879988010
1205 2 0 1071658021
1206 3 0 -1609688938
1207 4 0 -2200612436
1208 5 0 296009330
1209 6 0 1346631205
1210 7 0 -2525400782
1211 8 0 -84655902
1212 9 0 -238497703
1213 10 0 -4067866124
1214 11 0 -1942168005
1215 12 0 -292191477
1216 13 0 1856581055
1217 14 0 -1449113837
1218 15 0 -811405552
1223 0 0 3432382464
1224 1 0 967057040
1225 2 0 1927969783
1226 3 0 2392261349
1227 4 0 -552437968
1228 5 0 2005052552
1229 6 0 -2412619082
1230 7 0 -2555686423
1231 8 0 2876978725
1232 9 0 -1154951867
1233 10 0 -1960350327
1234 11 0 -955055996
1235 12 0 -295793155
1236 13 0 -1622367001
1237 14 0 -747083396
1238 15 0 1686496434
1243 0 0 5394989056
1244 1 0 -514734476
1245 2 0 -975520680
1246 3 0 -1118883028
1247 4 0 908122907
1248 5 0 -1869253915
1249 6 0 2068629362
1250 7 0 -1757197533
1251 8 0 685779816
1252 9 0 2141440589
1253 10 0 1767769942
1254 11 0 -2490084546
1255 12 0 -2175046115
1256 13 0 254957430
1257 14 0 -1845945369
1258 15 0 -1139318947
1263 0 0 112263168
1264 1 0 508498464
1265 2 0 1532548868
1266 3 0 -129966897
1267 4 0 -2200227613
1268 5 0 1306064877
1269 6 0 -1404813341
1270 7 0 -541833242
1271 8 0 -2528645176
1272 9 0 -1502317094
1273 10 0 111974013
1274 11 0 504824440
1275 12 0 -31187960
1276 13 0 -880467530
1277 14 0 1363617195
1278 15 0 -835712399
1283 0 0 317259776
1284 1 0 1167707245
1285 2 0 -2039430466
1286 3 0 -1173275879
1287 4 0 1512709495
1288 5 0 -62529945
1289 6 0 895818993
1290 7 0 -709816421
1291 8 0 270019375
1292 9 0 4701884065
1293 10 0 1488918910
1294 11 0 -673382379
1295 12 0 487883760
1296 13 0 -78290126
1297 14 0 -836306380
1298 15 0 -458404438
1303 0 0 2378235904
1304 1 0 -716798327
1305 2 0 1942596224
1306 3 0 804160922
1307 4 0 -962584
1308 5 0 2888652845
1309 6 0 -1517350588
1310 7 0 -2950437280
1311 8 0 3776696648
1312 9 0 -2561215049
1313 10 0 -1885180410
1314 11 0 779769372
1315 12 0 2298381872
1316 13 0 -143688645
1317 14 0 687701155
1318 15 0 1356061617
1323 0 0 4806475776
1324 1 0 1648596694
1325 2 0 1538190544
1326 3 0 2517712935
1327 4 0 1582935280
1328 5 0 -3497381765
1329 6 0 1773239057
1330 7 0 -2431094487
1331 8 0 911849983
1332 9 0 -1247427330
1333 10 0 1303468621
1334 11 0 -3533077705
1335 12 0 -1926221750
1336 13 0 -1648359002
1337 14 0 -213785945
1338 15 0 -635904904
1343 0 0 5734531072
1344 1 0 1181901654
1345 2 0 2551002395
1346 3 0 -640225520
1347 4 0 2483633169
1348 5 0 -773888257
1349 6 0 -1765854914
1350 7 0 -2469096381
1351 8 0 3782693633
1352 9 0 -2181183041
1353 10 0 -50290412
1354 11 0 -1528747633
1355 12 0 -2929296177
1356 13 0 -882922115
1357 14 0 -2235649867
1358 15 0 -1937701325
1363 0 0 2468216832
1364 1 0 -363269059
1365 2 0 107290349
