cycle,pos,y,x,och,code,out_ch_done,python,diff
249,59,4,7,1,3116,0,3116,0
249,59,4,7,2,5313,0,5313,0
251,60,4,8,0,20,0,20,0
251,60,4,8,1,2023,0,2023,0
251,60,4,8,2,641,0,641,0
253,61,4,9,0,0,0,0,0
253,61,4,9,1,1681,0,1681,0
253,61,4,9,2,0,0,0,0
255,62,4,10,0,0,0,0,0
255,62,4,10,1,1681,0,1681,0
255,62,4,10,2,0,0,0,0
257,63,4,11,0,0,0,0,0
257,63,4,11,1,1681,0,1681,0
257,63,4,11,2,0,0,0,0
259,64,4,12,0,0,0,0,0
259,64,4,12,1,1681,0,1681,0
259,64,4,12,2,0,0,0,0
287,65,5,0,0,0,0,0,0
287,65,5,0,1,1681,0,1681,0
287,65,5,0,2,0,0,0,0
289,66,5,1,0,0,0,0,0
289,66,5,1,1,1681,0,1681,0
289,66,5,1,2,0,0,0,0
291,67,5,2,0,0,0,0,0
291,67,5,2,1,1681,0,1681,0
291,67,5,2,2,0,0,0,0
293,68,5,3,0,2190,0,2190,0
293,68,5,3,1,1274,0,1274,0
293,68,5,3,2,46,0,46,0
295,69,5,4,0,2948,0,2948,0
295,69,5,4,1,0,0,0,0
295,69,5,4,2,5278,0,5278,0
297,70,5,5,0,1045,0,1045,0
297,70,5,5,1,0,0,0,0
297,70,5,5,2,7096,0,7096,0
299,71,5,6,0,2223,0,2223,0
299,71,5,6,1,2807,0,2807,0
299,71,5,6,2,5935,0,5935,0
301,72,5,7,0,779,0,779,0
301,72,5,7,1,1981,0,1981,0
301,72,5,7,2,802,0,802,0
303,73,5,8,0,0,0,0,0
303,73,5,8,1,971,0,971,0
303,73,5,8,2,60,0,60,0
305,74,5,9,0,0,0,0,0
305,74,5,9,1,1546,0,1546,0
305,74,5,9,2,658,0,658,0
307,75,5,10,0,0,0,0,0
307,75,5,10,1,1681,0,1681,0
307,75,5,10,2,31,0,31,0
309,76,5,11,0,0,0,0,0
309,76,5,11,1,1681,0,1681,0
309,76,5,11,2,0,0,0,0
311,77,5,12,0,0,0,0,0
311,77,5,12,1,1681,0,1681,0
311,77,5,12,2,0,0,0,0
339,78,6,0,0,0,0,0,0
339,78,6,0,1,1681,0,1681,0
339,78,6,0,2,0,0,0,0
341,79,6,1,0,0,0,0,0
341,79,6,1,1,1681,0,1681,0
341,79,6,1,2,0,0,0,0
343,80,6,2,0,0,0,0,0
343,80,6,2,1,1681,0,1681,0
343,80,6,2,2,0,0,0,0
345,81,6,3,0,2922,0,2922,0
345,81,6,3,1,0,0,0,0
345,81,6,3,2,1441,0,1441,0
347,82,6,4,0,2322,0,2322,0
347,82,6,4,1,0,0,0,0
347,82,6,4,2,6685,0,6685,0
349,83,6,5,0,534,0,534,0
349,83,6,5,1,213,0,213,0
349,83,6,5,2,6832,0,6832,0
351,84,6,6,0,1226,0,1226,0
