cycle,fsm,ch_count,mac_start,phase_clear,mac_done,is_ch35,in_valid,in_ready,ch_done,pixel_valid,px_frame,px_pass,px_y,px_x,pixel_in0,pixel_in1,pixel_in2,lb_wr_row,lb_wr_col,win_valid,win_frame,win_pass,win_oy,win_ox,wac,weight_valid,out_ch_sel,rom_grp,mac_s1,mac_s2,mac_valid,mac_frame,mac_pass,mac_pos,mac_och,ch_result0,ch_result1,ch_result2,ob_state,ob_pixel_cnt,ob_och_cnt,sum_valid,sum_frame,sum_pos,sum_och,sum_data,sum_ch_done,fifo_count,out_valid,out_ready,out_frame,out_pos,out_och,out_data,out_ch_done,monitor_err
89,CH02_IMG_IN,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,1,0,0,0,3,IDLE,0,0,0,0,0,1,0,0,2,15,0,0,0,ACCUM_G0,2,15,0,,,,0,0,0,0,0,,,,,,0
90,WAIT_MAC_02,0,1,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,IDLE,0,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,1,,,,,,0
91,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,0,0,0,0,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,0,,,,,,0
92,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,1,0,1,0,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,0,,,,,,0
93,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,2,0,1,1,0,,,,,0,0,0,ACCUM_G0,3,0,0,,,,0,0,0,0,0,,,,,,0
94,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,3,0,1,1,1,0,0,3,0,0,118,0,ACCUM_G0,3,0,0,,,,0,0,0,0,0,,,,,,0
95,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,4,0,1,1,1,0,0,3,1,0,218,0,ACCUM_G0,3,1,0,,,,0,0,0,0,0,,,,,,0
96,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,5,0,1,1,1,0,0,3,2,0,318,0,ACCUM_G0,3,2,0,,,,0,0,0,0,1,,,,,,0
97,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,6,0,1,1,1,0,0,3,3,0,418,0,ACCUM_G0,3,3,0,,,,0,0,0,0,0,,,,,,0
98,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,7,0,1,1,1,0,0,3,4,0,518,0,ACCUM_G0,3,4,0,,,,0,0,0,0,0,,,,,,0
99,WAIT_MAC_02,0,0,0,0,0,1,0,0,0,,,,,0,0,0,2,6,0,,,,,WEIGHT_CAL,1,8,0,1,1,1,0,0,3,5,0,618,0,ACCUM_G0,3,5,0,,,,0,0,0,0,1,,,,,,0
